,hot_cold_class,pos_neg_class,date,Degrees Celsius,Wind Gust (MPH),Precipitation,Wind Speed,Humidity,Weather,Visibility
228,cold,Negative,2017-01-03,-5,18,1,7,93,0,MO
229,cold,Negative,2017-01-03,-4,18,1,7,92,1,MO
230,cold,Negative,2017-01-03,0,18,1,9,79,3,MO
231,cold,Negative,2017-01-03,2,20,9,9,75,8,GO
232,cold,Negative,2017-01-03,1,20,10,9,80,8,GO
233,cold,Negative,2017-01-03,1,22,11,11,81,8,VG
234,cold,Negative,2017-01-03,2,20,10,9,82,8,VG
235,cold,Negative,2017-01-03,2,20,8,9,82,8,VG
236,cold,Negative,2017-01-03,3,22,9,11,83,7,VG
237,cold,Negative,2017-01-03,4,20,20,9,85,8,GO
238,cold,Negative,2017-01-03,4,18,13,9,68,7,VG
239,cold,Negative,2017-01-03,3,18,0,9,59,1,VG
240,cold,Negative,2017-01-03,1,16,0,7,68,0,GO
241,cold,Negative,2017-01-03,-1,16,0,7,74,0,VG
242,cold,Negative,2017-01-03,-1,16,0,7,78,0,VG
243,cold,Negative,2017-01-03,-2,11,0,4,83,0,GO
244,cold,Negative,2017-01-03,-2,7,0,4,85,0,GO
245,cold,Negative,2017-01-03,-2,4,0,2,88,1,GO
246,cold,Negative,2017-01-03,1,4,0,2,80,1,GO
247,cold,Negative,2017-01-03,2,4,0,2,81,1,GO
248,cold,Negative,2017-01-03,-1,4,1,2,89,2,GO
249,cold,Negative,2017-01-03,-2,7,4,4,92,7,GO
250,cold,Negative,2017-01-03,-1,7,6,4,92,7,MO
251,cold,Negative,2017-01-03,-2,9,6,4,89,7,GO
252,cold,Negative,2017-01-03,-1,11,4,7,85,2,GO
253,cold,Negative,2017-01-03,-1,13,5,7,85,7,GO
254,cold,Negative,2017-01-03,3,16,5,9,77,7,GO
255,cold,Negative,2017-01-03,3,18,42,9,78,12,MO
256,cold,Negative,2017-01-03,2,20,60,11,87,12,MO
257,cold,Negative,2017-01-03,3,22,50,11,90,12,MO
258,cold,Negative,2017-01-03,4,18,20,9,92,8,GO
259,cold,Negative,2017-01-03,5,16,18,9,95,8,GO
260,cold,Negative,2017-01-03,6,13,15,7,95,8,GO
261,cold,Negative,2017-01-03,7,13,9,7,94,7,GO
262,cold,Negative,2017-01-03,8,16,9,7,91,8,GO
263,cold,Negative,2017-01-03,8,13,9,7,90,8,GO
264,cold,Negative,2017-01-03,7,13,5,7,89,7,GO
265,cold,Negative,2017-01-03,6,11,5,4,91,7,GO
342,cold,Negative,2017-01-03,-5,18,1,7,93,0,MO
343,cold,Negative,2017-01-03,-4,18,1,7,92,1,MO
344,cold,Negative,2017-01-03,0,18,1,9,79,3,MO
345,cold,Negative,2017-01-03,2,20,9,9,75,8,GO
346,cold,Negative,2017-01-03,1,20,10,9,80,8,GO
347,cold,Negative,2017-01-03,1,22,11,11,81,8,VG
348,cold,Negative,2017-01-03,2,20,10,9,82,8,VG
349,cold,Negative,2017-01-03,2,20,8,9,82,8,VG
350,cold,Negative,2017-01-03,3,22,9,11,83,7,VG
351,cold,Negative,2017-01-03,4,20,20,9,85,8,GO
352,cold,Negative,2017-01-03,4,18,13,9,68,7,VG
353,cold,Negative,2017-01-03,3,18,0,9,59,1,VG
354,cold,Negative,2017-01-03,1,16,0,7,68,0,GO
355,cold,Negative,2017-01-03,-1,16,0,7,74,0,VG
356,cold,Negative,2017-01-03,-1,16,0,7,78,0,VG
357,cold,Negative,2017-01-03,-2,11,0,4,83,0,GO
358,cold,Negative,2017-01-03,-2,7,0,4,85,0,GO
359,cold,Negative,2017-01-03,-2,4,0,2,88,1,GO
360,cold,Negative,2017-01-03,1,4,0,2,80,1,GO
361,cold,Negative,2017-01-03,2,4,0,2,81,1,GO
362,cold,Negative,2017-01-03,-1,4,1,2,89,2,GO
363,cold,Negative,2017-01-03,-2,7,4,4,92,7,GO
364,cold,Negative,2017-01-03,-1,7,6,4,92,7,MO
365,cold,Negative,2017-01-03,-2,9,6,4,89,7,GO
