,date,hot_cold_class,pos_neg_class,Weather,Temperature
30,2016-12-28,cold,Negative,5,3
31,2016-12-28,cold,Negative,7,3
32,2016-12-28,cold,Negative,1,3
33,2016-12-28,cold,Negative,7,3
34,2016-12-28,cold,Negative,1,5
50,2016-12-28,cold,Negative,5,3
51,2016-12-28,cold,Negative,7,3
52,2016-12-28,cold,Negative,1,3
53,2016-12-28,cold,Negative,7,3
54,2016-12-28,cold,Negative,1,5
80,2016-12-28,cold,Negative,5,3
81,2016-12-28,cold,Negative,7,3
82,2016-12-28,cold,Negative,1,3
83,2016-12-28,cold,Negative,7,3
84,2016-12-28,cold,Negative,1,5
295,2016-12-28,cold,Negative,5,3
296,2016-12-28,cold,Negative,7,3
297,2016-12-28,cold,Negative,1,3
298,2016-12-28,cold,Negative,7,3
299,2016-12-28,cold,Negative,1,5
345,2016-12-28,cold,Negative,5,3
346,2016-12-28,cold,Negative,7,3
347,2016-12-28,cold,Negative,1,3
348,2016-12-28,cold,Negative,7,3
349,2016-12-28,cold,Negative,1,5
375,2016-12-28,cold,Negative,5,3
376,2016-12-28,cold,Negative,7,3
377,2016-12-28,cold,Negative,1,3
378,2016-12-28,cold,Negative,7,3
379,2016-12-28,cold,Negative,1,5
425,2016-12-28,cold,Negative,5,3
426,2016-12-28,cold,Negative,7,3
427,2016-12-28,cold,Negative,1,3
428,2016-12-28,cold,Negative,7,3
429,2016-12-28,cold,Negative,1,5
490,2016-12-28,cold,Negative,5,3
491,2016-12-28,cold,Negative,7,3
492,2016-12-28,cold,Negative,1,3
493,2016-12-28,cold,Negative,7,3
494,2016-12-28,cold,Negative,1,5
535,2016-12-28,cold,Negative,5,3
536,2016-12-28,cold,Negative,7,3
537,2016-12-28,cold,Negative,1,3
538,2016-12-28,cold,Negative,7,3
539,2016-12-28,cold,Negative,1,5
590,2016-12-28,cold,Negative,5,3
591,2016-12-28,cold,Negative,7,3
592,2016-12-28,cold,Negative,1,3
593,2016-12-28,cold,Negative,7,3
594,2016-12-28,cold,Negative,1,5
605,2016-12-28,cold,Negative,5,3
606,2016-12-28,cold,Negative,7,3
607,2016-12-28,cold,Negative,1,3
608,2016-12-28,cold,Negative,7,3
609,2016-12-28,cold,Negative,1,5
615,2016-12-28,cold,Negative,5,3
616,2016-12-28,cold,Negative,7,3
617,2016-12-28,cold,Negative,1,3
618,2016-12-28,cold,Negative,7,3
619,2016-12-28,cold,Negative,1,5
670,2016-12-28,cold,Negative,5,3
671,2016-12-28,cold,Negative,7,3
672,2016-12-28,cold,Negative,1,3
673,2016-12-28,cold,Negative,7,3
674,2016-12-28,cold,Negative,1,5
825,2016-12-28,cold,Negative,5,3
826,2016-12-28,cold,Negative,7,3
827,2016-12-28,cold,Negative,1,3
828,2016-12-28,cold,Negative,7,3
829,2016-12-28,cold,Negative,1,5
835,2016-12-28,cold,Negative,5,3
836,2016-12-28,cold,Negative,7,3
837,2016-12-28,cold,Negative,1,3
838,2016-12-28,cold,Negative,7,3
839,2016-12-28,cold,Negative,1,5
880,2016-12-28,cold,Negative,5,3
881,2016-12-28,cold,Negative,7,3
882,2016-12-28,cold,Negative,1,3
883,2016-12-28,cold,Negative,7,3
884,2016-12-28,cold,Negative,1,5
945,2016-12-28,cold,Negative,5,3
946,2016-12-28,cold,Negative,7,3
947,2016-12-28,cold,Negative,1,3
