"Journey","Train ID","Lateness (mins)"
"04:24 from Selhurst TR.S.M.D to Clapham Junction C (04:56)","X30855","14"
"04:45 from Barnham to Havant (05:00)","X31455","7"
"04:48 from Barnham to Brighton (05:48)","X29640","10"
"04:54 from Lovers Walk TR.S.M.D to Brighton (05:14)","X30775","5"
"04:57 from Barnham to Southampton Central (05:58)","X27281","19"
"05:00 from Clapham Junction C to London Victoria C (05:08)","X29395","10"
"05:00 from Clapham Junction C to London Victoria C (05:08)","X29395","10"
"05:02 from London Victoria C to Brighton (06:30)","X27467","6"
"05:05 from Seaford to Lewes (05:20)","X28277","8"
"05:25 from Lovers Walk TR.S.M.D to Brighton (05:45)","X30664","8"
"05:33 from Three Bridges to London Victoria C (06:28)","X27469","5"
"05:38 from Brighton to London Victoria C (06:59)","X26406","14"
"05:45 from Littlehampton to Haywards Heath (06:35)","X27068","5"
"05:53 from Brighton to West Worthing (06:21)","X28895","5"
"05:56 from Brighton to London Victoria C (07:10)","X27471","7"
"06:01 from Brighton to Chichester (06:53)","X29176","8"
"06:09 from Brighton to London Victoria C (07:27)","X27476","7"
"06:10 from Brighton to Seaford (06:45)","X28194","7"
"06:10 from Lovers Walk TR.S.M.D to Brighton (06:30)","X30578","25"
"06:14 from Littlehampton to London Victoria C (07:57)","X27072","10"
"06:18 from London Bridge C to West Croydon (06:37)","X30977","9"
"06:22 from Ore to Brighton (07:44)","X27704","7"
"06:24 from Chichester to Brighton (07:19)","X29121","5"
"06:27 from Selhurst TR.S.M.D to West Croydon (06:42)","X30858","12"
"06:28 from Brighton to London Victoria C (07:24)","X26413","13"
"06:28 from Eastbourne to Haywards Heath (07:10)","X26872","6"
"06:28 from Seaford to Brighton (07:00)","X28286","5"
"06:29 from London Bridge C to Caterham (07:24)","X29839","8"
"06:30 from Three Bridges to Chichester (07:30)","X31531","11"
"06:32 from Eastbourne Sidings to Eastbourne (06:44)","X30395",""
"06:32 from Southampton Central to Brighton (08:18)","X27223","8"
"06:34 from Brighton to Southampton Central (08:26)","X27439","8"
"06:34 from Preston Park Sidings to Brighton (06:43)","X30141","6"
"06:45 from West Croydon to Dorking (07:21)","X29398","15"
"06:50 from London Bridge C to Tattenham Corner (07:40)","X27282","16"
"06:55 from Eastbourne to London Victoria C (08:27)","X26875","9"
"06:55 from Ore to Haywards Heath (08:10)","X26878","13"
"06:55 from West Croydon to London Bridge C (07:37)","X28865","6"
"06:57 from Lovers Walk TR.S.M.D to Haywards Heath (07:19)","X30018","6"
"06:59 from Sutton Surrey to London Bridge C (07:40)","X29824","8"
"07:01 from Epsom - Up Sidings to Sutton Surrey (07:18)","X31065",""
"07:03 from Chichester to Brighton (07:50)","X31470","14"
"07:10 from Littlehampton to Bognor Regis (07:29)","X29263","5"
"07:14 from Littlehampton to London Victoria C (08:57)","X27078","20"
"07:20 from London Victoria C to Brighton (08:16)","X26417","5"
"07:23 from Selhurst TR.S.M.D to Selhurst (07:38)","X30875",""
"07:26 from Dorking to London Victoria C (08:21)","X27879","8"
