"Journey","Train ID","Lateness (mins)"
"03:10 from Salisbury TR.S.M.D to Exeter St. Davids (05:02)","Q23145","27"
"04:16 from Wimbledon Park Depot Sidings to Reading Platforms 4A4B (05:31)","Q23125","5"
"04:57 from Farnham C.S.D. to Reading Platforms 4A4B (05:55)","Q04625","8"
"05:10 from Exeter St. Davids to London Waterloo Main (08:49)","Q04595","26"
"05:15 from Guildford to Portsmouth Harbour (06:22)","Q04743","5"
"05:21 from Salisbury TR.S.M.D to Basingstoke (06:25)","Q24628","12"
"05:27 from Woking to London Waterloo Main (06:56)","Q24392","5"
"05:28 from Poole to London Waterloo Main (07:53)","Q05594","10"
"05:35 from Salisbury to Redbridge (06:36)","Q23026","8"
"05:37 from Staines to London Waterloo Main (06:19)","Q24556","6"
"05:43 from Wimbledon to Weymouth (08:45)","Q06050","5"
"05:53 from Twickenham to Windsor  Eton Riverside (06:22)","Q05968","5"
"05:53 from Windsor  Eton Riverside to London Waterloo Main (06:49)","Q24557","8"
"05:57 from Southampton Central to Totton Yard (06:04)","Q23138",""
"05:59 from Barnes to Barnes (05:46)","Q04286",""
"06:00 from Southampton Central to London Waterloo Main (07:31)","Q05901","53"
"06:19 from Honiton to London Waterloo Main (09:19)","Q04822","7"
"06:19 from Woking to Portsmouth Harbour (08:18)","Q23028","7"
"06:20 from London Waterloo Main to Woking (07:08)","Q24437","5"
"06:21 from Southampton Central to Weymouth (08:09)","Q05930","10"
"06:33 from London Waterloo Main to Guildford (07:32)","Q24443","15"
"06:40 from Clapham Yard Sidings to London Waterloo Main (06:59)","Q23182","5"
"06:42 from London Waterloo Main to Shepperton (07:33)","Q05368","7"
"06:44 from Alton to London Waterloo Main (07:58)","Q04222","13"
"06:45 from London Waterloo Main to Portsmouth Harbour (08:37)","Q24489","8"
"06:45 from Portsmouth Harbour to London Waterloo Main (08:23)","Q05674","5"
"06:46 from London Waterloo Main to Chessington South (07:20)","Q04896","5"
"06:50 from Salisbury to Chandlers Ford (07:55)","Q05807",""
"06:54 from Basingstoke to London Waterloo Main (08:05)","Q04327","15"
"06:57 from Wimbledon Park Depot Sidings to Dorking (07:33)","Q06054","29"
"06:58 from London Waterloo Main to Windsor  Eton Riverside (07:51)","Q05481","12"
"07:07 from Romsey to Salisbury (08:15)","Q05768","9"
"07:22 from Bournemouth T.R.S.M.D to Poole S.S. (07:33)","Q04423",""
"07:24 from Portsmouth  Southsea to London Waterloo Main (09:13)","Q05637","5"
"07:32 from Woking to London Waterloo Main (08:22)","Q06134","10"
"07:39 from London Waterloo Main to Poole (10:55)","Q05239","8"
"07:45 from Portsmouth Harbour to London Waterloo Main (09:23)","Q05676","5"
"07:50 from London Waterloo Main to Woking (08:38)","Q05519","5"
"07:50 from Salisbury to Chandlers Ford (08:55)","Q05808",""
"08:09 from London Waterloo Main to Portsmouth Harbour (10:18)","Q05297","25"
"08:15 from Portsmouth  S D. C.H.S to Portsmouth Harbour (08:32)","Q05632","14"
"08:24 from Exeter St. Davids to London Waterloo Main (11:49)","Q04598","14"
"08:24 from Portsmouth  Southsea to London Waterloo Main (10:13)","Q05638","5"
"08:35 from London Waterloo Main to Weymouth (11:13)","Q05447","16"
"08:38 from Portsmouth  Southsea to Southampton Central (09:37)","Q22941","8"
"08:39 from London Waterloo Main to Poole (11:55)","Q05240","12"
"08:45 from Portsmouth Harbour to London Waterloo Main (10:23)","Q05678","19"
"08:51 from Bristol Temple Meads to Salisbury (10:09)","Q04429","18"
"08:56 from Salisbury to Chandlers Ford (09:55)","Q05809",""
"09:03 from Weymouth to London Waterloo Main (11:49)","Q06011","15"
"09:20 from Weymouth to London Waterloo Main (12:21)","Q06025","6"
"09:22 from Bournemouth T.R.S.M.D to Poole S.S. (09:33)","Q04425",""
"09:39 from London Waterloo Main to Poole (12:55)","Q05241","5"
"09:56 from Salisbury to Chandlers Ford (10:55)","Q23001",""
"10:07 from Romsey to Salisbury (11:22)","Q05771","9"
"10:20 from London Waterloo Main to Exeter St. Davids (13:42)","Q04979","13"
"10:20 from Weymouth to London Waterloo Main (13:21)","Q06026","13"
"10:27 from Bournemouth to Bournemouth Middle Sdg (10:29)","Q04394",""
"10:35 from London Waterloo Main to Weymouth (13:13)","Q05449","5"
"10:40 from Farnham C.S.D. to Reading Platforms 4A4B (11:45)","Q23205","6"
"10:56 from Salisbury to Chandlers Ford (11:55)","Q23004",""
"11:05 from London Waterloo Main to Weymouth (14:00)","Q05463","7"
"11:20 from London Waterloo Main to Exeter St. Davids (14:42)","Q04980","7"
"11:35 from London Waterloo Main to Weymouth (14:13)","Q05450","5"
"11:38 from Portsmouth  Southsea to Southampton Central (12:38)","Q05656","7"
"11:53 from Windsor  Eton Riverside to London Waterloo Main (12:49)","Q06081","6"
"11:56 from Salisbury to Chandlers Ford (12:55)","Q05812",""
"11:57 from London Waterloo Main to Clapham Yard Sidings (12:25)","Q04933",""
"11:57 from Reading Platforms 4A4B to Twickenham (12:59)","Q23110","5"
"12:05 from London Waterloo Main to Weymouth (15:00)","Q05464","6"
"12:12 from Wimbledon Park Depot Sidings to London Waterloo Main (12:28)","Q24630","7"
