"Journey","Train ID","Lateness (mins)"
"04:03 from Ramsgate to Faversham (04:41)","J54539","6"
"04:24 from Grove Park C.S.D. to London Cannon Street (05:21)","X05394","9"
"04:45 from Grove Park Down CHS to Hayes Kent (05:32)","J55820",""
"04:55 from Grove Park C.S.D. to London Victoria (05:23)","X05392","9"
"04:56 from Orpington Down Sdgs to Sevenoaks (05:08)","X05416","13"
"04:57 from Dover Priory to London Victoria (07:11)","J54540","5"
"05:15 from Grove Park Down CHS to Hayes Kent (06:02)","J55821","9"
"05:17 from Sevenoaks to London Victoria (06:15)","J55654","7"
"05:23 from Grove Park C.S.D. to London Victoria (05:51)","X05389","5"
"05:25 from London Victoria to Ramsgate (07:42)","J54576","5"
"05:27 from Victoria Grovenor Shed to London Victoria (05:33)","X05310","10"
"05:32 from Ashford International to London Victoria (07:07)","J54873","6"
"05:32 from Victoria Grovenor Shed to London Victoria (05:38)","X05309","12"
"05:38 from Dartford to London Victoria (06:28)","X05217","5"
"06:07 from London Victoria to Hayes Kent (06:48)","J55540","5"
"06:09 from Hastings to London Bridge C (07:57)","X05141","11"
"06:09 from Hayes Kent to London Victoria (06:51)","J55578","11"
"06:12 from London Victoria to Orpington (06:49)","X05194","5"
"06:19 from Ramsgate to London Victoria (08:25)","J54347","7"
"06:23 from Tonbridge to Dover Priory (07:35)","J55318","17"
"06:25 from Ramsgate E.M.U.D. to Ashford International (07:05)","J55804","14"
"06:28 from Orpington to London Victoria (07:04)","X05180","7"
"06:38 from Ashford International to London Victoria (08:07)","X05174","11"
"06:39 from Hastings to London Bridge C (08:27)","X05143","8"
"06:39 from Hayes Kent to London Victoria (07:21)","J55580","7"
"06:57 from Dover Priory to London Victoria (09:11)","J54544","7"
"06:58 from Orpington to London Victoria (07:34)","X05436","5"
"07:00 from Ashford Down Sidings to Ashford International (07:21)","X05375","6"
"07:01 from Faversham to Dover Priory (07:41)","J54577","10"
"07:09 from Hastings to London Bridge C (08:57)","X05145","13"
"07:10 from Ashford International to London Victoria (08:37)","J54876","21"
"07:12 from London Victoria to Orpington (07:49)","J55209","8"
"07:32 from Dover Priory to Ashford International (08:02)","J54350","5"
"07:37 from London Victoria to Hayes Kent (08:18)","J55546","8"
"07:38 from Ashford International to London Victoria (09:07)","J54877","9"
"07:54 from Gillingham Kent to London Victoria (09:17)","J54661","7"
"07:58 from Orpington to London Victoria (08:34)","J55011","6"
"08:09 from Hastings to London Bridge C (09:57)","X05149","13"
"08:10 from Ashford International to London Victoria (09:37)","J54878","6"
"08:17 from Sevenoaks to London Victoria (09:15)","J55666","8"
"08:23 from Ramsgate to Ramsgate E.M.U.D. (08:42)","J55751","0"
"08:28 from London Victoria to Sevenoaks (09:22)","J55625","7"
"08:28 from Orpington to London Victoria (09:04)","J55017","10"
"08:37 from London Victoria to Hayes Kent (09:18)","J55550","8"
"08:39 from Hayes Kent to London Victoria (09:21)","J55588","6"
"09:06 from Canterbury West to London Victoria (11:07)","J54881","7"
"09:08 from Dartford to London Victoria (09:58)","J55476","9"
"09:09 from Hastings to London Bridge C (10:57)","X05153","5"
"09:09 from Hayes Kent to London Victoria (09:51)","J55590","7"
"09:10 from Ashford International to London Victoria (10:37)","J54880","16"
"09:12 from London Victoria to Orpington (09:49)","J55217","11"
"09:19 from Ramsgate to London Victoria (11:25)","J54353","8"
"09:23 from London Bridge C to Hastings (11:19)","J54808","9"
"09:28 from Orpington to London Victoria (10:04)","J55029","5"
"09:39 from Hayes Kent to London Victoria (10:21)","J55592","5"
"09:51 from Hastings to London Bridge C (11:27)","X05155","10"
"09:54 from Gillingham Kent to London Victoria (11:17)","J54669","6"
"09:55 from Sittingbourne to Sheerness-on-Sea (10:14)","J55008","10"
"09:58 from Orpington to London Victoria (10:34)","J55035","10"
"10:06 from Canterbury West to London Victoria (12:07)","J54883","5"
"10:09 from Hastings to London Bridge C (11:57)","X05157","13"
"10:09 from Hayes Kent to London Victoria (10:51)","J55594","5"
"10:10 from Ashford International to London Victoria (11:37)","J54882","11"
"10:19 from Ramsgate to London Victoria (12:25)","J54355","17"
"10:21 from Sheerness-on-Sea to Sittingbourne (10:38)","J55009","5"
"10:37 from London Victoria to Hayes Kent (11:18)","J55558","5"
"10:39 from Hayes Kent to London Victoria (11:21)","J55596","5"
"10:42 from London Victoria to Orpington (11:19)","J55223","8"
"10:51 from Hastings to London Bridge C (12:27)","X05159","14"
"10:52 from London Victoria to Ashford International (12:21)","J55249","21"
"10:54 from London Blackfriars to Gravesend (11:53)","J54747","7"
"10:57 from Dover Priory to London Victoria (13:11)","J54552","5"
"10:58 from Orpington to London Victoria (11:34)","J55047","7"
"11:01 from London Victoria to Ramsgate (13:13)","J54513","11"
"11:06 from Canterbury West to London Victoria (13:07)","J54885","13"
"11:07 from London Victoria to Hayes Kent (11:48)","J55560","6"
"11:09 from Hastings to London Bridge C (12:57)","X05161","10"
"11:10 from Ashford International to London Victoria (12:37)","J54884","14"
"11:22 from London Victoria to Canterbury West (13:27)","J55250","6"
"11:24 from London Blackfriars to Gravesend (12:23)","J54749","7"
"11:28 from London Victoria to Sevenoaks (12:22)","J55637","6"
"11:28 from Orpington to London Victoria (12:04)","J55053","5"
"11:32 from Dover Priory to Ashford International (12:02)","J54358","6"
