"Journey","Train ID","Lateness (mins)"
"03:50 from Lovers Walk TR.S.M.D to Seaford (05:01)","X07242","5"
"04:59 from Barnham to Bognor Regis (05:05)","X20026","25"
"05:02 from London Victoria C to Brighton (06:30)","X08258","19"
"05:06 from Littlehampton to Southampton Central (06:02)","X07214","17"
"05:18 from Bognor Sidings to Havant (05:44)","X07212",""
"05:18 from Littlehampton to Barnham (05:26)","X09787","5"
"05:25 from London Bridge C to London Victoria C (05:55)","X07248","8"
"05:29 from London Victoria C to Brighton (07:06)","X07194","11"
"05:38 from Barnham to Portsmouth Harbour (06:16)","X08160","5"
"05:41 from Littlehampton to Chichester (06:12)","X09788",""
"05:43 from Bognor Regis to Brighton (06:38)","X09153","21"
"05:49 from Bognor Regis to Barnham (05:55)","X09743","10"
"05:50 from Stewarts Lane TRSMD to London Victoria C (06:05)","X09809","51"
"06:00 from Barnham to Bognor Regis (06:08)","X09731","6"
"06:01 from Selhurst to London Victoria C (06:26)","X09285","6"
"06:04 from Eastbourne to Ore (06:32)","X08448","6"
"06:09 from Brighton to London Victoria C (07:27)","X08264","12"
"06:10 from Lovers Walk TR.S.M.D to Brighton (06:30)","X09728","41"
"06:10 from Southampton Central to Horsham (07:45)","X23173","10"
"06:13 from Bognor Regis to Littlehampton (06:29)","X09213","8"
"06:15 from Ashford International to Brighton (08:20)","X08007","7"
"06:19 from Tonbridge to London Victoria C (07:21)","X08266","6"
"06:22 from Barnham to Bognor Regis (06:29)","X08845","20"
"06:23 from London Victoria C to Epsom Downs (07:17)","X09283","8"
"06:24 from Chichester to Brighton (07:19)","X09155","20"
"06:24 from Redhill Post Office Dock to Selhurst TR.S.M.D (07:01)","X09482",""
"06:28 from Seaford to Brighton (07:00)","X08710",""
"06:29 from Portsmouth Harbour to Brighton (07:48)","X09157","12"
"06:30 from Bognor Regis to London Victoria C (08:10)","X07825","25"
"06:32 from London Victoria C to Portsmouth Harbour (09:02)","X08329","7"
"06:32 from Southampton Central to Brighton (08:18)","X23182","9"
"06:34 from Brighton to Southampton Central (08:26)","X08251","5"
"06:34 from Preston Park Sidings to Brighton (06:43)","X09505","11"
"06:34 from Three Bridges to Portsmouth Harbour (08:02)","X08328","8"
"06:35 from London Victoria C to Victoria C.H.S. (06:37)","X09863",""
"06:39 from Bognor Regis to Barnham (06:45)","X08849","12"
"06:40 from London Bridge C to West Croydon (07:19)","X09018","5"
"06:42 from Tattenham Corner to London Victoria C (07:46)","X09207","7"
"06:45 from Epsom - Up Sidings to Epsom (06:47)","X09652",""
"06:45 from Sutton Surrey to London Victoria C (07:28)","X07132","5"
"06:49 from Epsom to London Victoria C (07:31)","X08666","6"
"06:51 from Littlehampton to Haywards Heath (07:39)","X08077","17"
"06:52 from Barnham to Bognor Regis (06:59)","X08848","7"
"06:52 from Brighton to Ore (08:16)","X08406","13"
"06:55 from Eastbourne to London Victoria C (08:27)","X07944","22"
"06:56 from Bognor Regis to London Victoria C (08:40)","X07830","11"
"06:57 from Dorking to London Victoria C (07:52)","X08467","5"
"06:57 from Lovers Walk TR.S.M.D to Haywards Heath (07:19)","X09476","9"
"07:03 from Brighton to Portsmouth Harbour (08:21)","X09154","13"
"07:04 from Epsom to London Victoria C (07:58)","X07410","5"
"07:13 from Southampton Central to Horsham (08:45)","X07835","6"
"07:13 from West Worthing to Brighton (07:42)","X08507","9"
"07:14 from Littlehampton to London Victoria C (08:57)","X08079","11"
"07:19 from Tonbridge to London Victoria C (08:21)","X08270","6"
"07:20 from London Victoria C to Brighton (08:16)","X07729","6"
"07:22 from Ore to Brighton (08:44)","X08405","5"
"07:22 from Redhill to Tonbridge (07:52)","X08412","9"
"07:23 from London Victoria C to East Grinstead (08:18)","X09057","7"
"07:28 from Brighton to London Victoria C (08:24)","X07329","6"
"07:30 from Bognor Regis to London Victoria C (09:10)","X07885","23"
"07:30 from Horsham to London Bridge C (08:48)","X08348","7"
"07:37 from Haywards Heath to Ore (08:54)","X08673","5"
"07:40 from London Bridge C to West Croydon (08:19)","X08958","5"
"07:47 from London Victoria C to Ore (09:49)","X07943","8"
"07:51 from Brighton to Brighton (07:49)","X09477","28"
"07:51 from Littlehampton to Haywards Heath (08:39)","X08081","8"
"07:53 from Brighton to West Worthing (08:21)","X09032","5"
"07:55 from Eastbourne to London Victoria C (09:27)","X07948","17"
"07:55 from London Bridge C to Beckenham Junction C (08:31)","X09886","7"
"07:56 from Bognor Regis to London Victoria C (09:40)","X07833","8"
"07:59 from Portsmouth  Southsea to Littlehampton (08:52)","X09400","8"
"08:10 from London Bridge C to West Croydon (08:49)","X08960","14"
"08:12 from Portsmouth Harbour to Horsham (09:15)","X07838","5"
"08:14 from Littlehampton to London Victoria C (09:57)","X08084","8"
"08:28 from Brighton to London Victoria C (09:24)","X07337","6"
"08:29 from Portsmouth Harbour to Brighton (09:48)","X09161","14"
"08:30 from Bognor Regis to London Victoria C (10:10)","X07836","6"
"08:32 from Horsham to Bognor Regis (09:17)","X08315","5"
"08:35 from Epsom Downs to London Victoria C (09:28)","X07422","13"
"08:39 from London Victoria C to Tonbridge (09:39)","X08263","9"
"08:43 from Beckenham Junction C to London Bridge C (09:21)","X08920","6"
"08:47 from London Victoria C to Ore (10:49)","X07947","12"
"08:50 from London Victoria C to Brighton (09:46)","X07334","8"
"08:54 from Caterham to London Victoria C (09:46)","X09212","9"
"08:54 from Sutton Surrey to London Victoria C (09:36)","X09306","8"
"08:55 from West Croydon to London Bridge C (09:37)","X08961","26"
"08:56 from Bognor Regis to London Victoria C (10:40)","X07839","10"
"08:58 from Brighton to London Victoria C (09:54)","X07341","6"
"09:03 from Sutton Surrey to London Victoria C (09:53)","X09378","5"
"09:04 from Brighton to Portsmouth Harbour (10:23)","X09158","5"
"09:04 from Epsom to London Victoria C (09:58)","X07426","6"
"09:07 from East Grinstead to London Victoria C (10:04)","X09064","5"
"09:14 from Littlehampton to London Victoria C (10:57)","X08088","14"
"09:14 from London Bridge C to London Victoria C (10:09)","X08674","5"
"09:17 from London Victoria C to Littlehampton (10:56)","X08078","6"
