"Journey","Train ID","Lateness (mins)"
"00:04 from Tonbridge to St. Leonards W.M. C.S.D. (01:19)","X05278",""
"00:06 from Ashford International to Tonbridge Jubilee Sidings (00:35)","X05340",""
"00:17 from Bromley South to London Victoria (00:36)","J57060",""
"00:25 from Orpington to Grove Park Down CHS (00:39)","X05257",""
"00:28 from London Victoria to Sevenoaks (01:22)","J57057","5"
"00:35 from Tunbridge Wells to Tonbridge (00:45)","J57072","17"
"00:36 from Ashford International to Dover Priory (01:07)","J57064","8"
"00:52 from Dartford to Dartford Down Sidings (00:55)","X05461",""
"00:52 from Tonbridge to Ashford International (01:27)","J57077","18"
"00:53 from London Bridge C to Tunbridge Wells (01:58)","J57054","6"
"00:55 from Orpington to Grove Park Up C.H.S. (01:22)","X05258",""
"00:56 from Hastings to St. Leonards W.M. C.S.D. (01:39)","J57091",""
"01:00 from Sevenoaks to Grove Park C.S.D. (01:29)","X05372",""
"01:03 from Ashford International to Ashford Down Sidings (01:00)","J57059","7"
"01:05 from London Victoria to Sevenoaks (01:56)","J57058","6"
"01:08 from Hayes Kent to London Victoria (01:35)","X05403","16"
"01:34 from Ashford International to Tonbridge Down Main Siding (02:20)","X05339",""
"04:32 from Ramsgate E.M.U.D. to Dover Priory (05:05)","X05373","5"
"05:04 from Strood to Tonbridge (05:55)","X05209","9"
"05:15 from Grove Park Down CHS to Hither Green (05:22)","J54055","5"
"05:20 from Grove Park Down CHS to London Charing Cross (05:43)","J57015","5"
"05:32 from Ashford International to London Victoria (07:09)","J53445","9"
"05:34 from Sevenoaks to London Charing Cross (06:26)","J56154","7"
"05:36 from London Charing Cross to Sevenoaks (06:27)","X05205","11"
"05:41 from Tonbridge to Hastings (06:23)","X05276","5"
"05:48 from Hastings to London Charing Cross (07:38)","J55884","7"
"05:54 from Ramsgate to London Victoria (07:53)","X05115","6"
"05:57 from Ashford Down Sidings to Dover Priory (06:50)","J57017","7"
"06:02 from London Charing Cross to Ramsgate (08:13)","J56680","16"
"06:03 from Ramsgate New Sidings to Ramsgate (06:18)","X05385","6"
"06:04 from Tonbridge to Strood (06:56)","J53846","7"
"06:08 from Ramsgate to London Cannon Street (08:12)","X05103","7"
"06:10 from Ashford International to London Victoria (07:39)","J53446","5"
"06:14 from Ramsgate to London Charing Cross (08:24)","J56868","5"
"06:17 from Dover Priory to London Victoria (08:23)","X05116","5"
"06:17 from Tonbridge Jubilee Sidings to Tonbridge (06:19)","J54061","5"
"06:23 from Ashford International to London Blackfriars (08:11)","J56160","5"
"06:23 from Tonbridge to Dover Priory (07:33)","J53845","6"
"06:26 from Dover Priory to Faversham (07:08)","J53354","8"
"06:32 from London Charing Cross to Hayes Kent (07:14)","J56799","5"
"06:34 from London Victoria to Dover Priory (08:37)","X05191","7"
"06:37 from St. Pancras International to Gravesend (09:42)","J53400",""
"06:49 from Sheerness-on-Sea to Sittingbourne (07:05)","J53543","5"
"06:50 from Sandwich to St. Pancras International (08:17)","X05112",""
"06:52 from Grove Park C.S.D. to Tonbridge (07:36)","J57046","5"
"07:03 from Orpington to London Cannon Street (07:40)","J56161","6"
"07:04 from Grove Park C.S.D. to London Charing Cross (07:35)","J57013","31"
"07:04 from Strood to Tonbridge (07:55)","J53851","8"
"07:08 from Grove Park C.S.D. to Orpington (07:29)","J57021","5"
"07:08 from St. Pancras International to Margate (08:39)","J53359","10"
"07:10 from Orpington to London Victoria (07:50)","J53557","6"
"07:17 from Faversham Bk Road to Faversham (07:27)","X05254","19"
"07:20 from Hastings to London Charing Cross (09:07)","J55891","5"
"07:23 from London Charing Cross to Gravesend (08:23)","J53773","5"
"07:23 from Tonbridge to Dover Priory (08:33)","X05454","6"
"07:24 from Faversham to Dover Priory (08:06)","J53919","6"
"07:25 from St. Pancras International to Ashford International (10:16)","J53301",""
"07:28 from Faversham to St. Pancras International (08:38)","X05422","5"
"07:31 from Dartford to London Cannon Street (08:17)","J53488","9"
"07:33 from Orpington to London Cannon Street (08:10)","J56163","11"
