"Journey","Train ID","Lateness (mins)"
"00:45 from London Victoria C to East Croydon (01:14)","L07588","6"
"01:20 from East Croydon to Selhurst TR.S.M.D (01:45)","L74720",""
"01:27 from London Victoria C to East Croydon (01:56)","X26145","8"
"02:22 from East Croydon to London Victoria C (02:40)","X26213","6"
"02:27 from London Victoria C to East Croydon (02:56)","X26148","20"
"02:47 from London Victoria C to East Croydon (03:16)","X26149","9"
"03:02 from East Croydon to London Victoria C (03:20)","X26215","22"
"03:27 from London Victoria C to East Croydon (03:56)","X26151","21"
"03:47 from London Victoria C to East Croydon (04:16)","X26152","10"
"04:02 from East Croydon to London Victoria C (04:20)","X26218","25"
"04:22 from East Croydon to London Victoria C (04:40)","X26219","16"
"06:05 from Streatham Hill Shed to East Croydon (06:36)","L74630","27"
"06:10 from Selhurst TR.S.M.D to Purley (06:29)","L73795",""
"06:13 from Brighton to London Victoria C (07:27)","L04182","11"
"06:30 from Streatham Hill Shed to London Victoria C (06:48)","L74396","24"
"06:41 from East Croydon to London Victoria C (07:10)","L70058","29"
"06:45 from Barnham to Bognor Regis (06:52)","L08330","11"
"06:55 from London Bridge C to Tattenham Corner (07:34)","L74636","6"
"06:55 from Tonbridge to Redhill (07:26)","L04394","8"
"07:00 from London Bridge C to West Croydon (07:25)","L75276","6"
"07:02 from Brighton to Lewes (07:14)","L73627","16"
"07:15 from Littlehampton to London Victoria C (09:04)","L03130","16"
"07:15 from Lovers Walk TR.S.M.D to Brighton (07:35)","L74558","21"
"07:19 from Brighton to Chichester (08:14)","L09816","5"
"07:19 from Littlehampton to Bognor Regis (07:34)","L70152","23"
"07:20 from Lovers Walk TR.S.M.D to Brighton (07:40)","L73649","31"
"07:33 from Redhill to Tonbridge (08:03)","L04398","6"
"07:40 from Littlehampton to Brighton (08:26)","L05732","6"
"07:47 from Brighton to London Victoria C (09:14)","L04228","11"
"08:25 from Brighton to London Victoria C (09:24)","L01020","7"
"08:35 from London Victoria C to Caterham (09:23)","L72016","5"
"08:37 from Caterham to London Victoria C (09:21)","L70080","17"
"08:38 from Brighton to London Victoria C (09:32)","L01032","5"
"08:59 from Brighton to London Victoria C (10:18)","L04238","6"
"09:02 from London Victoria C to Bognor Regis (10:48)","L04628","9"
"09:04 from London Bridge C to Tonbridge (10:10)","L04410","6"
"09:17 from London Victoria C to Chichester (10:59)","L02862","20"
"09:17 from London Victoria C to Littlehampton (10:57)","L02872","19"
"09:24 from London Bridge C to Tattenham Corner (10:27)","L70434","5"
"09:27 from London Victoria C to Brighton (10:43)","L04212","27"
"09:32 from London Victoria C to Brighton (10:24)","L01170","17"
"09:36 from Tonbridge to London Bridge C (10:48)","L04408","20"
"10:06 from London Victoria C to Brighton (11:03)","L01190","10"
"10:19 from Ore to London Victoria C (12:26)","L02282","6"
"10:30 from Brighton to Chichester (11:25)","L09708","6"
"10:30 from Southampton Central to Brighton (12:20)","L03412","7"
"10:32 from London Victoria C to Brighton (11:24)","L01212","12"
"10:42 from East Grinstead to London Victoria C (11:39)","L09086","9"
"10:46 from Brighton to Hove (10:50)","L08018","8"
"10:59 from Brighton to London Victoria C (12:18)","L04262","15"
"11:00 from Brighton to Southampton Central (12:46)","L03446","17"
"11:05 from Caterham to London Victoria C (11:50)","L70114","14"
"11:15 from Chichester to London Victoria C (12:56)","L02842","-1423"
"11:15 from Littlehampton to London Victoria C (12:56)","L02828","17"
"11:17 from London Victoria C to Littlehampton (12:57)","L02918","16"
"11:24 from London Bridge C to Tattenham Corner (12:27)","L70478","6"
"11:35 from Brighton to London Victoria C (12:30)","L01094","24"
"11:40 from London Victoria C to Dorking (12:39)","L05858","8"
"11:59 from Bognor Regis to London Victoria C (13:46)","L04654","10"
"12:20 from Bognor Regis to Littlehampton (12:36)","L70358","7"
"12:23 from London Victoria C to East Grinstead (13:17)","L09140","10"
"12:27 from London Victoria C to Brighton (13:43)","L04244","16"
"13:06 from London Victoria C to Brighton (14:03)","L00670","5"
"13:17 from London Victoria C to Chichester (14:59)","L02956","6"
"13:17 from London Victoria C to Littlehampton (14:57)","L02966","7"
"13:32 from London Victoria C to Brighton (14:24)","L00696","6"
"13:59 from Bognor Regis to London Victoria C (15:46)","L04666","21"
"13:59 from Brighton to London Victoria C (15:18)","L04292","5"
"14:08 from London Victoria C to Caterham (14:56)","L72096","12"
"14:17 from Brighton to Seaford (14:51)","L07106","8"
"14:24 from London Bridge C to Tattenham Corner (15:27)","L70526","10"
"14:32 from London Victoria C to Brighton (15:24)","L00760","10"
"14:47 from Brighton to Seaford (15:23)","L07136","6"
"14:59 from Brighton to London Victoria C (16:18)","L04300","11"
"15:00 from Brighton to Southampton Central (16:46)","L03470","5"
"15:10 from Brighton to London Victoria C (16:03)","L01174","6"
"15:10 from Lovers Walk TR.S.M.D to Three Bridges Back Road (16:03)","L72551",""
"15:17 from Brighton to Seaford (15:51)","L07148","8"
"15:17 from London Victoria C to Chichester (16:59)","L03004","23"
"15:17 from London Victoria C to Littlehampton (16:57)","L03014","27"
"15:27 from London Victoria C to Brighton (16:43)","L04278","8"
"15:27 from Seaford to Brighton (16:00)","L07142","5"
"15:32 from London Victoria C to Brighton (16:24)","L00828","15"
"15:35 from Caterham to London Victoria C (16:20)","L70252","5"
"15:40 from Sutton Surrey to London Victoria C (16:27)","L71456","5"
"15:45 from Dorking to London Victoria C (16:45)","L06072","5"
"15:59 from Brighton to London Victoria C (17:18)","L04308","6"
"16:02 from London Victoria C to Bognor Regis (17:48)","L04684","31"
"16:10 from Sutton Surrey to London Victoria C (16:57)","L71264","9"
"16:27 from London Victoria C to Brighton (17:43)","L04288","23"
"16:30 from Brighton to Chichester (17:25)","L09808",""
"16:52 from London Victoria C to Epsom (17:33)","L06454","8"
"16:54 from London Bridge C to Tattenham Corner (17:57)","L70564","9"
