"Journey","Train ID","Lateness (mins)"
"00:03 from London Waterloo Main to Wimbledon Park Depot Sidings (00:29)","Q24814",""
"00:09 from Woking to GUILDFORD NORTH BOX SIDINGS (00:27)","Q08230",""
"00:37 from Poole to Bournemouth T.R.S.M.D (00:46)","Q07607",""
"00:38 from Clapham Yard Sidings to London Waterloo Main (00:57)","Q24722","5"
"01:10 from Reading Platforms 4A4B to Staines C.H.S. (01:42)","Q07814",""
"04:54 from Salisbury to Axminster (05:50)","Q07834","26"
"05:21 from Salisbury TR.S.M.D to Basingstoke (06:25)","Q23472","7"
"05:27 from Woking to London Waterloo Main (06:56)","Q24718","7"
"05:28 from Poole to London Waterloo Main (07:55)","Q07610","10"
"05:30 from Southampton Central to London Waterloo Main (07:35)","Q07958","12"
"05:48 from Portsmouth Harbour to London Waterloo Main (08:23)","Q24708","7"
"05:57 from Southampton Central to Totton Yard (06:04)","Q23385",""
"06:06 from London Waterloo Main to Hampton Court (06:42)","Q24680","6"
"06:12 from London Waterloo Main to Shepperton (07:03)","Q07362","6"
"06:14 from Alton to London Waterloo Main (07:29)","Q06184","13"
"06:15 from Bournemouth T.R.S.M.D to Bournemouth (06:30)","Q06380","14"
"06:15 from London Waterloo Main to Haslemere (07:17)","Q07050","24"
"06:15 from YOVILJN to Exeter St. Davids (07:42)","Q08270","15"
"06:16 from Salisbury to London Waterloo Main (07:51)","Q23252","5"
"06:20 from London Waterloo Main to Woking (07:08)","Q07528","9"
"06:30 from Bournemouth T.R.S.M.D to Poole (06:39)","Q06385","7"
"06:32 from Clapham Yard Sidings to London Waterloo Main (06:54)","Q24724","33"
"06:34 from Southampton Central to Portsmouth  Southsea (07:32)","Q23304","6"
"06:38 from Guildford U.C.H.S. to Guildford (06:49)","Q06721",""
"06:40 from Guildford U.C.H.S. to Guildford (07:06)","Q23388",""
"06:44 from Farnham C.S.D. to London Waterloo Main (07:38)","Q23366","11"
"06:50 from Poole to London Waterloo Main (09:36)","Q07611","7"
"06:50 from Salisbury to Chandlers Ford (07:55)","Q07855",""
"06:55 from Weymouth to London Waterloo Main (09:51)","Q08148","8"
"06:58 from London Waterloo Main to Reading Platforms 4A4B (08:18)","Q23342","7"
"07:02 from Woking to London Waterloo Main (07:54)","Q08234","8"
"07:10 from London Waterloo Main to Exeter St. Davids (10:42)","Q06932","10"
"07:21 from Exeter New Yard to Exeter St. Davids (07:23)","W38985","10"
"07:28 from London Waterloo Main to Reading Platforms 4A4B (08:48)","Q07333","11"
"07:39 from Haslemere to London Waterloo Main (08:44)","Q06763","6"
"07:45 from Salisbury to Exeter St. Davids (09:44)","Q07840","24"
"07:50 from Salisbury to Chandlers Ford (08:55)","Q07856",""
"08:03 from London Waterloo Main to Guildford (09:02)","Q06983","7"
"08:20 from London Waterloo Main to Exeter St. Davids (11:42)","Q06933","38"
"08:20 from Weymouth to London Waterloo Main (11:20)","Q08134","6"
"08:22 from London Waterloo Main to Windsor  Eton Riverside (09:28)","Q07478","7"
"08:24 from Exeter St. Davids to London Waterloo Main (11:49)","Q06564","11"
"08:52 from London Waterloo Main to Windsor  Eton Riverside (09:58)","Q07479","6"
"08:56 from Salisbury to Chandlers Ford (09:55)","Q07857",""
"09:56 from Salisbury to Chandlers Ford (10:55)","Q23324",""
"10:25 from Exeter St. Davids to London Waterloo Main (13:49)","Q06566","14"
"10:47 from Virginia Water to Virginia Water (10:34)","Q08035",""
"10:52 from Salisbury to Bristol Temple Meads (12:05)","Q07836","29"
"10:56 from Salisbury to Chandlers Ford (11:55)","Q23325",""
"11:17 from Virginia Water to Virginia Water (11:04)","Q08036",""
"11:20 from London Waterloo Main to Exeter St. Davids (14:42)","Q06936","5"
"11:30 from London Waterloo Main to Portsmouth Harbour (13:07)","Q24657","8"
"11:56 from Salisbury to Chandlers Ford (12:55)","Q07860",""
"12:05 from London Waterloo Main to Weymouth (15:00)","Q07463","7"
"12:20 from London Waterloo Main to Reading Platforms 4A4B (13:40)","Q07298","7"
"12:28 from London Waterloo Main to Windsor  Eton Riverside (13:21)","Q07503","7"
"12:35 from London Waterloo Main to Weymouth (15:13)","Q07449","11"
"12:56 from Salisbury to Chandlers Ford (13:55)","Q07861",""
"12:57 from London Waterloo Main to Queenstown RoadBattersea (14:08)","Q07080",""
"12:59 from Portsmouth Harbour to London Waterloo Main (15:07)","Q07727","8"
"13:03 from Weymouth to London Waterloo Main (15:51)","Q08125","6"
"13:07 from Romsey to Salisbury (14:15)","Q07823","7"
"13:20 from London Waterloo Main to Exeter St. Davids (16:42)","Q06938","7"
