"Journey","Train ID","Lateness (mins)"
"00:01 from Dartford to Dartford Up Sidings (00:04)","J54126","8"
"00:10 from Orpington to London Victoria (00:30)","J57155","6"
"00:25 from Ashford International to Ramsgate E.M.U.D. (01:03)","J54123","12"
"00:30 from Sevenoaks to Tonbridge (00:38)","J57173","7"
"01:20 from Ramsgate to Ramsgate E.M.U.D. (01:38)","J54122",""
"04:43 from Grove Park C.S.D. to Orpington (05:04)","X05349","11"
"04:50 from London Charing Cross to Gravesend (05:53)","J56588","5"
"05:46 from Ramsgate E.M.U.D. to Dover Priory (06:20)","X05381","6"
"05:50 from Ashford International to London Blackfriars (07:41)","J56158","6"
"05:53 from Margate to St. Pancras International (07:23)","J53358","6"
"06:01 from Gravesend to London Charing Cross (07:03)","J53544","6"
"06:04 from Strood to Tonbridge (06:55)","J53847","12"
"06:10 from Ashford International to London Victoria (07:39)","J53446","8"
"06:10 from London Cannon Street to Deptford (07:24)","X05441","11"
"06:17 from Tonbridge Jubilee Sidings to Tonbridge (06:19)","J54061","5"
"06:23 from Tonbridge to Dover Priory (07:33)","J53845","6"
"06:31 from Gravesend to London Charing Cross (07:33)","J56070","6"
"06:51 from Ramsgate E.M.U.D. to Ashford International (07:29)","J54083","21"
"07:04 from Grove Park C.S.D. to London Charing Cross (07:35)","J57013","6"
"07:04 from Tonbridge to Strood (07:56)","J53850","9"
"07:06 from London Charing Cross to Sevenoaks (07:57)","J56725","5"
"07:08 from Grove Park C.S.D. to Orpington (07:29)","J57021","7"
"07:09 from London Victoria to Dartford (07:58)","J54099","7"
"07:15 from London Charing Cross to Hastings (08:59)","J55855","5"
"07:23 from Tonbridge to Dover Priory (08:33)","X05454","5"
"07:26 from London Charing Cross to Dartford (08:11)","J56498","6"
"07:28 from Faversham to St. Pancras International (08:38)","X05422","6"
"07:35 from London Cannon Street to Grove Park C.S.D. (08:08)","X05289",""
"07:52 from London Victoria to Ashford International (09:21)","J53774","6"
"07:56 from London Charing Cross to Dartford (08:41)","J56500",""
"08:04 from Strood to Tonbridge (08:55)","J53855","15"
"08:10 from Ashford International to London Victoria (09:39)","J53450","11"
"08:10 from Ashford Up Sidings to Tonbridge (08:41)","J57037","18"
"08:21 from Dartford to London Charing Cross (09:09)","J56006","5"
"08:37 from St. Pancras International to Gravesend (11:42)","X05430",""
"08:50 from Tonbridge to Tunbridge Wells (09:00)","J56142","17"
"09:03 from Maidstone West to Strood (09:26)","J53856","6"
"09:04 from Sevenoaks to London Charing Cross (09:56)","J56170","7"
"09:04 from Tonbridge to Strood (09:56)","J53858","9"
"09:17 from London Charing Cross to Hayes Kent (10:03)","J56821","5"
"09:34 from Sevenoaks to London Charing Cross (10:24)","J56172","5"
"09:39 from London Charing Cross to Gillingham Kent (11:03)","J56462","8"
"09:53 from London Charing Cross to Gravesend (10:53)","J56597","5"
"10:02 from London Charing Cross to Hayes Kent (10:44)","J56827","7"
"10:04 from Strood to Tonbridge (10:55)","J53863","5"
"10:15 from Hayes Kent to London Charing Cross (10:58)","J56391","5"
"10:22 from St. Pancras International to Ashford International (13:16)","J53304",""
"10:26 from London Charing Cross to Dartford (11:11)","J56515","5"
"10:56 from London Charing Cross to Dartford (11:41)","J56519","6"
"11:21 from Dartford to London Charing Cross (12:07)","J56018","5"
"11:58 from Dover Priory to London Charing Cross (13:52)","J56879","6"
"12:12 from St. Pancras International to Margate (13:39)","J53372","5"
"12:37 from St. Pancras International to Gravesend (15:42)","J53406",""
"12:55 from London Victoria to Orpington (13:34)","J56563","9"
"13:10 from Ashford International to London Victoria (14:37)","J53460","7"
"14:04 from Sevenoaks to London Charing Cross (14:54)","J56190","8"
"14:10 from London Charing Cross to Ramsgate (16:13)","J56696","5"
"14:10 from London Victoria to Orpington (14:49)","J53766","11"
"14:19 from Ramsgate to London Charing Cross (16:22)","J56884","16"
"14:50 from Hastings to London Charing Cross (16:35)","J55883","33"
"14:52 from London Victoria to Ashford International (16:21)","J53788","6"
"14:54 from Gillingham Kent to London Charing Cross (16:15)","J55978","14"
"15:10 from Ashford International to London Victoria (16:37)","J53464","11"
"15:20 from Dover Priory to London Victoria (17:21)","J55921","9"
"15:21 from Tunbridge Wells to London Charing Cross (16:19)","J56265","15"
"15:24 from Gillingham Kent to London Charing Cross (16:45)","J55979","34"
"15:25 from St. Pancras International to Ashford International (18:16)","J53309",""
"15:31 from Gravesend to London Charing Cross (16:31)","J53602","20"
"15:32 from Hayes Kent to London Charing Cross (16:13)","J56438","8"
"15:34 from Sevenoaks to London Charing Cross (16:24)","J56196","21"
"15:37 from St. Pancras International to Gravesend (18:42)","J53409",""
"15:47 from London Cannon Street to New Cross (17:06)","J56645","8"
"15:51 from Dartford to London Charing Cross (16:37)","J56036","36"
"15:52 from London Victoria to Ashford International (17:21)","J53790","5"
"16:01 from Gravesend to London Charing Cross (17:01)","J56113","53"
"16:02 from London Charing Cross to Hayes Kent (16:46)","J56859","32"
"16:04 from Sevenoaks to London Charing Cross (16:54)","J56198","41"
"16:06 from London Charing Cross to Sevenoaks (16:59)","J56761","12"
"16:10 from Ashford International to London Victoria (17:37)","J53466","14"
"16:10 from London Charing Cross to Ramsgate (18:15)","J56700","28"
"16:15 from Hayes Kent to London Charing Cross (16:58)","J56444","46"
"16:15 from London Charing Cross to Hastings (18:01)","J55846","8"
"16:17 from London Cannon Street to New Cross (17:36)","J56646","4"
"16:17 from London Charing Cross to Hayes Kent (17:05)","J56860","19"
"16:20 from Dover Priory to London Victoria (18:21)","J55923","9"
"16:21 from Dartford to London Charing Cross (17:07)","J56038","52"
"16:24 from Gillingham Kent to London Charing Cross (17:45)","J55981",""
"16:25 from St. Pancras International to Ashford International (19:16)","J53310",""
"16:30 from London Charing Cross to Tunbridge Wells (17:30)","J56261","11"
"16:31 from Hastings to London Charing Cross (18:05)","J55890","30"
"16:38 from Barnehurst to London Cannon Street (17:13)","J56039","8"
"16:39 from London Charing Cross to Gillingham Kent (18:05)","J56476","8"
"16:40 from London Charing Cross to Dover Priory (18:35)","J56701","11"
"16:47 from London Blackfriars to Ashford International (18:44)","J56202","19"
"16:47 from London Charing Cross to Hayes Kent (17:35)","J56862","38"
"16:50 from Hastings to London Charing Cross (18:35)","J55892","34"
"16:51 from Dartford to London Charing Cross (17:37)","J56040",""
"16:52 from London Victoria to Ashford International (18:23)","J53792","31"
"16:54 from Gillingham Kent to London Charing Cross (18:15)","J55982","35"
"16:55 from London Victoria to Orpington (17:35)","J56491","5"
"16:55 from Orpington to London Victoria (17:34)","J53542","6"
"16:57 from London Cannon Street to Dartford (17:45)","J53657","5"
"17:01 from Dartford to London Cannon Street (17:45)","J53483","7"
"17:02 from London Cannon Street to Hastings (18:43)","J55848","27"
"17:03 from Orpington to London Cannon Street (17:38)","J56201","11"
"17:04 from Sevenoaks to London Charing Cross (17:54)","J56203","45"
"17:04 from Tonbridge to Strood (17:56)","J53890","6"
"17:07 from London Victoria to Dover Priory (19:08)","J55940","9"
"17:08 from Barnehurst to London Cannon Street (17:43)","J56041","16"
"17:10 from Ashford International to London Victoria (18:37)","J53468","11"
"17:10 from London Charing Cross to Ramsgate (19:15)","J56702","11"
"17:15 from Hayes Kent to London Charing Cross (17:58)","J56452","64"
"17:19 from Ramsgate to London Charing Cross (19:22)","J56890","38"
"17:20 from Dover Priory to London Victoria (19:21)","J55925","5"
"17:20 from Hastings to London Charing Cross (19:05)","J55895","28"
"17:21 from Dartford to London Charing Cross (18:07)","J56042","36"
"17:21 from Tunbridge Wells to London Charing Cross (18:19)","J56271","38"
"17:24 from Gillingham Kent to London Charing Cross (18:45)","J55983","25"
"17:34 from Sevenoaks to London Charing Cross (18:24)","J56205","37"
"17:45 from Hayes Kent to London Charing Cross (18:28)","J56354","54"
"17:50 from Hastings to London Charing Cross (19:35)","J55897","27"
"17:50 from London Cannon Street to Orpington (18:26)","J56768","8"
"17:51 from Dartford to London Charing Cross (18:37)","J56044","35"
"17:51 from Tunbridge Wells to London Charing Cross (18:49)","J56273","28"
"17:52 from London Victoria to Ashford International (19:23)","J53794","12"
"17:54 from Gillingham Kent to London Charing Cross (19:15)","J55984","28"
"17:55 from London Victoria to Orpington (18:35)","J56496","5"
"18:04 from Strood to Tonbridge (18:55)","J53895","6"
"18:07 from St. Pancras International to Ramsgate (19:44)","X05113","5"
"18:10 from Ashford International to London Victoria (19:37)","J53470","5"
"18:12 from St. Pancras International to Margate (19:42)","J53384","5"
"18:15 from London Charing Cross to Hastings (20:01)","J55853","32"
"18:19 from Ramsgate to London Charing Cross (20:22)","J56892","15"
"18:20 from Hastings to London Charing Cross (20:05)","J55899","10"
"18:21 from Dartford to London Charing Cross (19:07)","J56046","32"
"18:21 from Tunbridge Wells to London Charing Cross (19:19)","J56275","41"
"18:24 from Gillingham Kent to London Charing Cross (19:45)","J55985","22"
"18:26 from London Charing Cross to Dartford (19:13)","J56564","32"
"18:30 from London Cannon Street to Ramsgate (21:02)","J56718","8"
"18:31 from Dartford to London Cannon Street (19:15)","J53496","5"
"18:31 from Gravesend to London Charing Cross (19:31)","J53620","22"
"18:32 from London Charing Cross to Hayes Kent (19:16)","J56804","32"
"18:33 from Orpington to London Cannon Street (19:08)","J56209","9"
"18:34 from Sevenoaks to London Charing Cross (19:24)","J56210","24"
"18:36 from London Charing Cross to Sevenoaks (19:29)","J56771","12"
"18:38 from Barnehurst to London Cannon Street (19:13)","J56047","7"
"18:40 from Orpington to London Victoria (19:19)","J56083","5"
"18:45 from Ashford International to Ashford East Berthing Sdgs (18:49)","X05255",""
"18:45 from Hayes Kent to London Charing Cross (19:28)","J56366","12"
"18:45 from London Charing Cross to Hastings (20:21)","J55854","32"
"18:47 from London Charing Cross to Hayes Kent (19:35)","J56806","30"
"18:51 from Tunbridge Wells to London Charing Cross (19:49)","J56277","21"
"18:52 from London Victoria to Ashford International (20:23)","J53796","6"
"18:55 from Hastings to St. Leonards W.M. C.S.D. (19:40)","J56929",""
