Day, Operator,Lateness (mins),Incidents,avg
01-Jan-17,South West Trains,291,57,5.105263158
01-Jan-17,Southeastern,696,82,8.487804878
01-Jan-17,Southern,1901,167,11.38323353
02-Jan-17,South West Trains,791,167,4.736526946
02-Jan-17,Southeastern,732,94,7.787234043
02-Jan-17,Southern,3552,329,10.79635258
26-Dec-16,Southeastern,19,2,9.5
26-Dec-16,Southern,14,2,7
27-Dec-16,South West Trains,1163,142,8.190140845
27-Dec-16,Southeastern,1759,215,8.181395349
27-Dec-16,Southern,3473,344,10.09593023
28-Dec-16,South West Trains,1791,192,9.328125
28-Dec-16,Southeastern,1376,194,7.092783505
29-Dec-16,South West Trains,131,32,4.09375
29-Dec-16,Southeastern,292,53,5.509433962
29-Dec-16,Southern,389,61,6.37704918
30-Dec-16,South West Trains,1201,154,7.798701299
30-Dec-16,Southeastern,2882,230,12.53043478
30-Dec-16,Southern,2942,267,11.01872659
31-Dec-16,South West Trains,365,67,5.447761194
31-Dec-16,Southeastern,287,39,7.358974359
03-Jan-17,Southern,3092,352,8.784090909
03-Jan-17,South West Trains,1072,174,6.16091954
03-Jan-17,Southeastern,1946,273,7.128205128
04-Jan-17,Southern,3307,344,9.613372093
04-Jan-17,Southeastern,2802,362,7.740331492
04-Jan-17,South West Trains,1154,167,6.910179641
05-Jan-17,Southeastern,1261,198,6.368686869
05-Jan-17,South West Trains,1710,239,7.154811715
06-Jan-17,Southern,3000,109,27.52293578
06-Jan-17,Southeastern,3000,58,51.72413793
06-Jan-17,South West Trains,3000,49,61.2244898
07-Jan-17,Southern,2268,254,8.929133858
07-Jan-17,Southeastern,708,99,7.151515152
07-Jan-17,South West Trains,471,72,6.541666667
08-Jan-17,Southeastern,452,66,6.848484848
08-Jan-17,South West Trains,270,61,4.426229508
09-Jan-17,Southern,2891,362,7.986187845
09-Jan-17,Southeastern,1847,285,6.480701754
09-Jan-17,South West Trains,1871,250,7.484
10-Jan-17,Southern,125,15,8.333333333
10-Jan-17,Southeastern,1053,170,6.194117647
10-Jan-17,Southern,23,6,3.833333333
10-Jan-17,Southeastern,850,154,5.519480519
10-Jan-17,South West Trains,1761,202,8.717821782
